url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,throw_inshome,throw_insaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
https://www.scoreboard.com/uk/match/OjVQbVCq/#match-summary,26,Frankfurt,Monchengladbach,1,3,Away,0,2,Away,52,48,5,6,2,5,3,1,0,0,10,9,3,1,0,2,5.0,13.0,3,2,9,8,2.0,1.0,262.0,256.0,4.0,4.0,84,35,21,6,,,,
https://www.scoreboard.com/uk/match/lh3J4L02/#match-summary,26,Augsburg,Wolfsburg,1,2,Away,0,1,Away,39,61,5,8,1,2,3,5,1,1,6,10,1,1,4,1,11.0,13.0,1,1,6,5,1.0,0.0,165.0,251.0,6.0,7.0,42,63,22,34,,,,
https://www.scoreboard.com/uk/match/I9hb3B4S/#match-summary,26,Dortmund,Schalke,4,0,Home,2,0,Home,60,40,9,3,2,1,3,0,4,2,8,2,4,0,0,2,7.0,9.0,1,0,2,6,,,289.0,192.0,10.0,6.0,71,49,31,18,,,,
https://www.scoreboard.com/uk/match/A7XxdTd2/#match-summary,26,Dusseldorf,Paderborn,0,0,Draw,0,0,Draw,55,45,4,4,1,1,2,2,1,1,9,9,1,0,2,0,8.0,8.0,1,1,8,9,1.0,1.0,306.0,241.0,8.0,5.0,44,51,25,24,,,,
https://www.scoreboard.com/uk/match/WGYYd9sd/#match-summary,26,Hoffenheim,Hertha,0,3,Away,0,0,Draw,51,49,6,4,0,2,4,2,2,0,12,4,2,3,0,0,11.0,8.0,2,0,4,11,0.0,3.0,217.0,205.0,9.0,5.0,53,43,34,30,,,,
https://www.scoreboard.com/uk/match/0f5moCrp/#match-summary,25,Mainz,Dusseldorf,1,1,Draw,0,0,Draw,37,63,0,12,0,1,0,7,0,4,5,14,0,2,1,1,,,1,0,11,3,1.0,1.0,175.0,292.0,3.0,5.0,40,67,8,24,,,,
https://www.scoreboard.com/uk/match/APnv8Zkc/#match-summary,25,Bayern,Augsburg,2,0,Home,0,0,Draw,77,23,2,3,0,1,1,0,1,2,5,3,6,2,0,2,,,1,0,3,3,,,404.0,122.0,10.0,7.0,84,38,39,12,,,,
https://www.scoreboard.com/uk/match/vJgf4ikM/#match-summary,25,Monchengladbach,Dortmund,1,2,Away,0,1,Away,46,54,5,4,2,2,2,0,1,2,6,6,0,2,3,0,,,1,2,3,5,0.0,2.0,281.0,322.0,11.0,6.0,55,77,26,15,,,,
https://www.scoreboard.com/uk/match/OSjr7g53/#match-summary,25,Freiburg,Union Berlin,3,1,Home,1,0,Home,56,44,4,5,2,2,0,2,2,1,6,4,6,1,3,0,,,2,1,4,8,1.0,0.0,210.0,171.0,6.0,3.0,24,14,11,23,,,,
https://www.scoreboard.com/uk/match/dMbdqjDd/#match-summary,25,Hertha,Bremen,2,2,Draw,1,2,Away,53,47,10,3,3,2,2,1,5,0,6,7,1,0,2,3,,,0,2,5,2,,,232.0,205.0,9.0,7.0,50,44,32,16,,,,
