,id_game,team_home,result,team_away,labels_0_home,labels_1_home,labels_2_home,labels_3_home,labels_4_home,labels_5_home,labels_6_home,labels_7_home,labels_0_away,labels_1_away,labels_2_away,labels_3_away,labels_4_away,labels_5_away,labels_6_away,labels_7_away
0,0,11,Draw,1,3,7,5,4,6,4,3,17,1,2,12,2,10,1,5,0
1,1,2,Draw,1,1,9,2,3,0,4,3,8,3,2,7,5,4,2,2,2
2,2,0,Away,3,4,10,3,5,1,8,5,15,5,3,8,4,7,4,5,1
3,4,1,Away,4,4,4,5,5,3,6,1,6,3,1,13,4,5,0,3,2
4,6,2,Away,1,2,2,4,5,4,6,1,4,3,3,11,3,6,1,3,8
5,7,10,Home,4,2,8,3,9,0,8,3,15,4,5,8,2,6,7,2,1
6,8,3,Away,3,6,7,4,7,0,6,4,7,0,2,7,0,5,0,3,0
7,9,1,Home,2,3,9,2,5,1,4,1,14,3,3,11,6,8,5,4,6
8,10,5,Away,1,1,9,2,5,0,4,2,12,6,4,7,4,8,2,3,2
9,11,2,Home,2,2,6,3,6,5,2,2,15,1,1,3,2,5,0,3,2
10,12,13,Home,2,5,7,3,4,0,4,3,14,3,4,4,3,4,3,3,2
11,13,16,Away,3,4,5,4,9,3,3,5,17,2,2,9,4,9,1,7,2
12,14,13,Away,2,2,5,0,3,0,6,5,17,2,2,7,4,10,3,1,1
13,15,7,Away,4,7,6,3,7,2,3,2,15,1,1,8,3,5,4,3,4
14,16,5,Draw,6,3,13,6,4,1,4,8,14,1,2,3,2,5,7,1,0
15,17,15,Away,1,6,6,2,7,1,7,2,17,5,2,8,3,8,2,8,4
16,18,2,Away,1,1,9,4,7,4,4,2,16,3,2,11,2,2,1,3,1
17,19,4,Home,4,3,5,3,3,3,7,3,8,2,2,10,4,2,0,5,2
18,20,3,Draw,7,2,10,3,9,7,2,8,14,0,2,6,6,1,0,10,2
19,21,6,Home,1,2,6,3,3,2,4,3,14,4,1,6,4,9,5,7,5
20,22,4,Away,4,1,7,4,6,1,3,2,15,3,2,7,4,5,6,7,7
21,23,3,Home,2,2,6,2,8,1,5,4,10,3,4,3,3,7,0,3,1
22,24,4,Draw,2,6,13,3,6,1,3,2,13,1,1,1,8,3,3,5,1
23,25,3,Away,2,5,14,4,6,2,7,1,16,2,5,9,3,6,5,5,1
24,26,11,Home,0,1,10,4,6,3,4,0,15,3,6,7,3,6,1,2,4
25,27,11,Away,3,2,12,3,5,0,5,2,16,3,3,11,5,5,3,3,3
26,28,3,Home,4,2,9,7,6,1,3,2,5,0,2,7,2,5,3,4,4
27,29,5,Home,2,4,5,2,5,4,4,3,8,0,0,7,3,4,1,5,1
28,30,3,Away,3,5,9,2,7,1,1,3,10,0,1,7,5,4,3,6,1
29,31,8,Draw,2,3,6,5,5,6,5,2,14,3,2,7,2,9,2,5,6
30,33,9,Away,2,2,8,2,5,0,6,3,15,0,3,8,6,7,2,3,3
31,34,3,Home,2,5,8,4,7,6,7,4,8,3,5,11,3,7,1,6,0
32,35,2,Draw,2,1,9,2,6,3,4,5,12,3,3,6,3,5,2,3,5
33,36,4,Draw,6,3,6,4,8,4,4,6,11,1,2,9,4,3,1,6,2
34,37,8,Draw,0,3,12,2,5,1,2,3,11,2,3,7,6,1,5,4,1
35,38,6,Home,5,7,7,2,3,1,4,3,15,0,2,9,3,3,8,6,4
36,39,2,Away,1,2,8,5,11,0,3,3,11,1,2,11,1,5,3,2,0
37,40,4,Away,4,3,10,6,7,0,3,4,8,1,2,6,2,5,3,2,0
38,41,1,Home,2,1,9,4,2,3,2,4,12,5,3,15,3,8,0,2,4
39,42,4,Home,7,3,9,2,8,5,4,5,16,1,0,1,6,6,0,5,2
40,43,2,Away,4,2,11,2,7,3,4,5,14,1,5,3,3,7,1,6,0
41,44,5,Home,3,2,8,1,11,6,1,3,16,2,3,7,5,7,0,6,2
