team_home,result,labels_0_home,labels_1_home,labels_2_home,labels_3_home,labels_4_home,team_away,labels_0_away,labels_1_away,labels_2_away,labels_3_away,labels_4_away
FC Koln,Away,7,7,4,3,3,Freiburg,5,9,6,14,9
B. Monchengladbach,Home,17,7,10,8,4,Paderborn,3,4,4,13,6
Augsburg,Draw,4,6,11,5,2,Freiburg,6,7,5,10,6
B. Monchengladbach,Home,13,5,5,3,3,FC Koln,8,4,7,1,4
Bayern Munich,Away,12,8,6,5,7,Hoffenheim,8,9,5,2,1
Eintracht Frankfurt,Home,11,9,10,3,3,Mainz,17,6,9,0,6
Eintracht Frankfurt,Home,8,7,10,1,5,Schalke,6,5,9,5,8
Augsburg,Away,13,4,8,4,2,Wolfsburg,9,5,7,4,2
Augsburg,Home,12,9,10,5,4,Hertha Berlin,12,5,4,4,3
Eintracht Frankfurt,Home,12,9,8,4,7,Hoffenheim,11,5,10,0,1
Bayern Munich,Home,14,4,7,4,6,Dortmund,3,5,6,2,3
Hertha Berlin,Away,10,5,4,3,3,Hoffenheim,9,5,9,3,7
Augsburg,Home,17,7,11,5,5,Union Berlin,11,7,6,2,2
Eintracht Frankfurt,Home,6,7,3,2,4,RB Leipzig,13,4,10,3,3
Dortmund,Home,6,7,7,4,6,Dusseldorf,4,6,9,6,2
FC Koln,Home,14,5,7,2,8,Wolfsburg,15,8,14,3,1
Union Berlin,Home,5,11,11,1,5,Wolfsburg,19,5,10,4,5
Dusseldorf,Home,8,8,10,7,2,Hertha Berlin,9,4,14,2,5
Dusseldorf,Draw,6,3,12,4,2,Schalke,8,4,7,3,7
Dortmund,Home,5,4,8,5,5,Hoffenheim,10,4,6,3,2
Augsburg,Home,11,4,11,2,2,Werder Bremen,10,3,8,4,3
FC Koln,Home,7,10,15,1,4,Wolfsburg,9,9,3,4,3
Dusseldorf,Away,6,6,9,6,2,RB Leipzig,4,9,7,3,7
Paderborn,Away,5,9,4,6,8,Werder Bremen,9,8,12,6,5
FC Koln,Draw,6,6,10,2,5,Mainz,9,6,14,1,5
Dortmund,Away,6,7,12,3,4,Hertha Berlin,8,3,12,2,6
Bayer Leverkusen,Home,14,3,10,3,2,Eintracht Frankfurt,8,3,6,6,4
Paderborn,Draw,3,3,3,17,4,Wolfsburg,20,5,10,1,3
Mainz,Away,13,2,12,2,5,Wolfsburg,8,4,3,6,3
Freiburg,Home,6,3,13,6,4,Wolfsburg,12,6,7,3,4
Bayern Munich,Home,14,7,11,6,5,Wolfsburg,3,4,6,3,5
FC Koln,Away,16,7,10,4,5,Hertha Berlin,14,4,6,5,3
Freiburg,Draw,7,5,10,8,5,Werder Bremen,7,5,6,8,5
Mainz,Home,5,3,7,2,4,Schalke,13,7,12,3,7
Dortmund,Home,5,3,3,1,2,Freiburg,3,4,1,7,5
Bayern Munich,Draw,11,3,11,2,6,RB Leipzig,8,3,5,4,3
Dortmund,Home,14,7,4,4,2,FC Koln,8,3,3,2,0
Mainz,Home,11,7,14,7,1,Paderborn,3,5,4,9,9
Dusseldorf,Away,5,6,7,8,2,Freiburg,1,1,5,8,4
