team_home,result,labels_0_home,labels_1_home,labels_2_home,labels_3_home,labels_4_home,labels_5_home,labels_6_home,labels_7_home,team_away,labels_0_away,labels_1_away,labels_2_away,labels_3_away,labels_4_away,labels_5_away,labels_6_away,labels_7_away,predict_comments,proba_home,proba_draw,proba_away
B. Monchengladbach,Home,0,4,6,0,5,8,2,3,Schalke,5,3,0,4,13,7,4,1,1,0.36650972309023605,0.3376042618143359,0.2958860150954281
RB Leipzig,Away,1,1,10,5,2,6,3,3,Schalke,2,2,2,4,7,4,2,2,-1,0.3120159066148528,0.12376062657093101,0.5642234668142162
Eintracht Frankfurt,Home,4,4,8,4,1,4,8,3,Mainz,7,1,8,5,3,1,11,2,1,0.48615965068876993,0.18305852445065424,0.33078182486057583
Freiburg,Draw,0,1,8,4,2,7,3,2,RB Leipzig,5,3,3,2,1,9,5,1,1,0.43555734213785513,0.2346280713381454,0.32981458652399953
Dortmund,Home,3,1,4,2,6,6,5,2,Schalke,2,1,0,8,7,1,1,1,0,0.30551373378542324,0.4046162938998974,0.2898699723146794
FC Koln,Home,5,1,6,2,1,8,9,3,Paderborn,1,0,9,3,0,5,6,2,1,0.48615965068876993,0.18305852445065424,0.33078182486057583
Dortmund,Away,2,0,7,3,3,6,5,1,Werder Bremen,1,1,6,4,2,2,4,1,1,0.5133705350425114,0.21197008907650458,0.274659375880984
Eintracht Frankfurt,Draw,4,3,6,6,1,9,9,1,Werder Bremen,3,2,13,0,2,2,5,5,1,0.4106506052495514,0.27032864188894634,0.3190207528615023
Hoffenheim,Draw,1,1,5,4,1,9,0,2,Schalke,3,3,0,4,6,7,4,0,-1,0.2701791719209752,0.2556483816729719,0.47417244640605294
Dusseldorf,Away,1,5,6,3,2,11,4,6,Freiburg,2,3,10,1,1,5,3,1,-1,0.35243746508867474,0.27305020248568634,0.37451233242563886
Bayer Leverkusen,Away,4,2,0,10,12,5,4,4,Wolfsburg,2,5,4,6,3,11,3,2,-1,0.32522658073493327,0.24413863785983603,0.4306347814052307
Hoffenheim,Home,0,1,10,3,2,10,2,0,Paderborn,1,1,5,2,1,4,1,2,1,0.448234206317473,0.26301079568172736,0.28875499800079973
Hertha Berlin,Home,3,0,2,2,6,11,2,1,Union Berlin,0,4,3,2,3,3,9,3,-1,0.3101791719209752,0.23314838167297183,0.456672446406053
Schalke,Away,0,0,1,8,8,2,1,2,Werder Bremen,2,2,5,6,1,5,4,1,-1,0.3392267909685942,0.15267219119678135,0.5081010178346244
Dusseldorf,Away,1,2,8,3,4,8,3,0,Werder Bremen,4,3,11,2,3,6,5,4,1,0.4083464577841136,0.20571650671229505,0.3859370355035914
Bayer Leverkusen,Away,4,3,1,6,9,3,3,4,Bayern Munich,4,2,9,6,3,6,4,0,1,0.4956666317553414,0.17930020248568634,0.32503316575897223
Augsburg,Away,3,4,9,2,1,4,7,1,Wolfsburg,1,4,9,3,2,4,2,2,1,0.4083464577841136,0.20571650671229505,0.3859370355035914
Hertha Berlin,Away,2,3,1,5,7,10,1,3,Wolfsburg,2,7,3,3,7,12,2,0,-1,0.3392267909685942,0.15267219119678135,0.5081010178346244
